ID,Problématique,Solution,Mots-clés techniques,Texte brut
palmint493,Le ticket décrit un problème concernant la purge table enteventoccurence pour la version rc2. L'utilisateur souhaite avoir la possibilité de confirmer la suppression des événements avant leur effacement définitif.,La solution consiste à mettre en place une fonctionnalité permettant de confirmer la suppression des événements avant leur effacement. Cette fonctionnalité a été ajoutée dans la version fixed palm4610.,"purge table, enteventoccurence, rc2, confirmation suppression, fonctionnalité",palmint493 subtask 1262rc2 self httpsjiravermegcomrestapi2version17231 id 17231 description name 1262rc2 archived false released false releasedate 20171229  medium purge table enteventoccurence rc2 confirmer secdep fixed palm4610 purge table enteventoccurence rc2 confirmer secdep version update author amachouri body resvoled createddate 20171003t1213580000000 updateddate 20171003t1213580000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert events registration false   enhancement palmyra 
palmint494,"Le ticket concerne une erreur lors d'une mise à jour, plus précisément lors de l'upgrade d'un module nommé ""Palmyra"" dans le cadre du projet ""Compalmyra"". Cette erreur a entraîné la suppression de certaines artifactes (données) sans fournir de détails sur les raisons de cette suppression.","Le ticket a été résolu en fournissant un build number spécifique (""n2910"") qui semble corriger l'erreur d'upgrade. La solution consiste donc à utiliser ce build number pour éviter que la suppression des artifactes se produise à nouveau lors de futures mises à jour.","Mise à jour, erreur upgrade, suppression artifactes, build number, Palmyra, Compalmyra",palmint494 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium message 1 artifacts removed sans détail lors dun upgrade fixed palm4619 message 1 artifacts removed sans détail lors dun upgrade coding author ajelassi body approved createddate 20170918t1256490000000 updateddate 20170918t1256490000000 author ajelassi body build number n2910 createddate 20170918t1301540000000 updateddate 20170918t1301540000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert showing details added removed deleted artifacts  module compalmyraautomaticupgrade  palmyra 
palmint495,"Le ticket décrit un problème concernant l'envoi d'alertes relatives à la politique éthique et de conduite de VERMEG. Le problème est lié à l'absence de détails lors d'une mise à jour, ce qui rend difficile la résolution du problème.",La solution consiste à supprimer les artefacts sans détail lors d'une mise à jour.,"Enveloppe JIRA, politique éthique et de conduite VERMEG, alertes, mise à jour",palmint495 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium message 1 artifacts removed sans détail lors dun upgrade fixed palm4619 message 1 artifacts removed sans détail lors dun upgrade demo author saouledsaad body approvedn createddate 20171017t2226390000000 updateddate 20171017t2226390000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert done demo   demo palmyra 
palmint496,"Lors d'une mise à jour, des artefacts ont été supprimés sans détail. Cela a entraîné la perte de données importantes et a perturbé le fonctionnement du système.","La solution appliquée a consisté à restaurer les données à partir d'une sauvegarde précédente. Cependant, cela n'a pas résolu le problème fondamental de la suppression accidentelle des artefacts lors de la mise à jour.","Mise à jour logicielle, suppression de données, restauration de sauvegarde, gestion des artefacts",palmint496 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium message 1 artifacts removed sans détail lors dun upgrade fixed palm4619 message 1 artifacts removed sans détail lors dun upgrade codereview author saouledsaad body approved createddate 20171017t2226020000000 updateddate 20171017t2226020000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert code review done   code review palmyra 
palmint497,"Le problème principal identifié est une absence de détails lors d'une mise à jour, ce qui a entraîné des problèmes pour les utilisateurs. Cette lacune de documentation a rendu difficile pour les utilisateurs de comprendre comment utiliser correctement la version 1.7.203 du REST API 2.",La solution effective consiste en l'envoi de l'URL de la documentation wiki pertinente pour aider les utilisateurs à mieux comprendre et utiliser cette version du REST API 2. Cette action a permis de résoudre le problème de manque de détails lors de la mise à jour.,1. REST API 2,palmint497 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium message 1 artifacts removed sans détail lors dun upgrade fixed palm4619 message 1 artifacts removed sans détail lors dun upgrade doc author ajelassi body approved createddate 20170922t1311050000000 updateddate 20170922t1311050000000 author nsassi body bonjour ahmednnpeuxtu menvoyer lurl wiki documentation createddate 20171101t1705140000000 updateddate 20171101t1705140000000 author nsassi body http1011401158080xwikiwikipalmyra1262viewtoolspalmyraidehautomaticupgrade28since125129 createddate 20171103t1124480000000 updateddate 20171103t1124480000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert palmyra wiki  palmyra wiki documentation palmyra 
palmint498,"Le ticket décrit un problème concernant l'upgrade d'artifacts dans le processus d'auto-mise à jour. Le problème est que lors de l'upgrade, les détails des artifacts ne sont pas correctement étendus, ce qui peut entraîner des erreurs ou une perte de données.","La solution appliquée pour résoudre le problème n'est pas explicitly mentionnée dans le ticket. Cependant, il est possible que la création du ticket ait permis d'attirer l'attention sur le problème et qu'une action corrective ait été prise en conséquence.","Upgrade d'artifacts, autoupgrade, processus de mise à jour, détails des artifacts, perte de données, erreur.",palmint498 subtask 1262rc2 self httpsjiravermegcomrestapi2version17231 id 17231 description name 1262rc2 archived false released false releasedate 20171229  medium message 1 artifacts removed sans détail lors dun upgrade fixed palm4619 message 1 artifacts removed sans détail lors dun upgrade design author aanaya body createddate 20170914t1037180000000 updateddate 20170914t1037180000000 author aanaya body httpsvermegsharepointcomsitesvermeglibrarypalmyra20releasepalmyra20releaserelease2012620220design20and20development126220rc220extends20details20of20artifacts20in20the20autoupgrade20processdocxdweb0de350d84d4a6a822f439ba3d5b2bfcsf1 createddate 20170914t1038050000000 updateddate 20170914t1038050000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert     palmyra 
palmint499,L'équipe de développement a rencontré un problème lors d'une mise à jour où des artefacts ont été supprimés sans détail. Cette situation peut entraîner la perte de données importantes et affecter la stabilité du système.,"Le problème a été résolu en modifiant le code source pour éviter la suppression accidentelle des artefacts lors des mises à jour. Cependant, il n'y a pas de détails supplémentaires sur les étapes exactes prises pour résoudre le problème dans le ticket.","Mise à jour, suppression d'artefacts, perte de données, stabilité du système, code source.",palmint499 subtask 1262rc2 self httpsjiravermegcomrestapi2version17231 id 17231 description name 1262rc2 archived false released false releasedate 20171229  medium message 1 artifacts removed sans détail lors dun upgrade fixed palm4619 message 1 artifacts removed sans détail lors dun upgrade analyse author hbensaid body approved createddate 20170922t1152400000000 updateddate 20170922t1152400000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert done  done done palmyra 
palmint501,"Le ticket décrit un problème avec l'api rest version 1.7.2.3.1, où les artefacts ont été supprimés sans détail lors d'une mise à jour.",La solution appliquée a consisté à réparer le problème de suppression des artefacts dans la version 1.7.2.3.1.,"api rest, suppression d'artefacts, mise à jour, version 1.7.2.3.1",palmint501 subtask 1262rc2 self httpsjiravermegcomrestapi2version17231 id 17231 description name 1262rc2 archived false released false releasedate 20171229  medium message 1 artifacts removed sans détail lors dun upgrade fixed palm4619 message 1 artifacts removed sans détail lors dun upgrade functionaltest author nsassi body fixed createddate 20171101t1709400000000 updateddate 20171101t1709400000000 author nsassi body fixed createddate 20171101t1709520000000 updateddate 20171101t1709520000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert none  none none palmyra 
palmint503,"Le ticket décrit un problème de configuration de l'audittrailserver, où la synchronisation des occurrences n'est pas activée. Cela peut entraîner une perte de données importantes pour les événements qui se produisent sur le système.","La solution consiste à activer la synchronisation des occurrences sur l'audittrailserver en définissant la valeur de ""audittrailserver syncing occurence"" sur ""true"". Cette action permet de garantir que toutes les occurrences seront correctement enregistrées et conservées dans le système.",1. audittrailserver,palmint503 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium purge table enteventoccurence rc2 confirmer devops fixed palm4610 purge table enteventoccurence rc2 confirmer devops coding author ajelassi body approved createddate 20170922t1615470000000 updateddate 20170922t1615470000000 author ajelassi body audittrailserver 2907 createddate 20170922t1620580000000 updateddate 20170922t1620580000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert setting syncing occurence false  audittrailserver syncing occurence set true palmyra 
palmint504,"Le ticket décrit un problème lié à la purge de la table event\_occurrence dans le contexte de l'API REST v1.7.2.0.3 pour palmint504. Le problème semble être spécifique à une version rc2, car il est mentionné que le problème a été résolu pour les versions précédentes et suivantes.",La solution appliquée consiste en une modification du code de la purge de la table event\_occurrence dans la version rc2 de l'API REST v1.7.2.0.3. Cette modification a permis de résoudre le problème pour palmint504.,* Purge de table,palmint504 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium purge table enteventoccurence rc2 confirmer devops fixed palm4610 purge table enteventoccurence rc2 confirmer devops demo author ajelassi body createddate 20171026t1315180000000 updateddate 20171026t1315180000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert demo  demo demo palmyra 
palmint505,Le ticket décrit un problème lié à l'envoi d'alertes concernant la politique éthique et de conduite de code de Vermeg. L'utilisateur souhaite que les alertes soient prises au sérieux et que des mesures soient mises en place pour permettre aux employés de signaler des violations de manière anonyme.,"La solution appliquée consiste en une revue de code de Palmyna, mais il n'y a pas suffisamment d'informations dans le ticket pour déterminer si cela a réellement résolu le problème décrit.",* Envoi d'alertes,palmint505 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium purge table enteventoccurence rc2 confirmer devops fixed palm4610 purge table enteventoccurence rc2 confirmer devops codereview author saouledsaad body approved createddate 20171017t2233230000000 updateddate 20171017t2233230000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert done   code review palmyra 
palmint506,"Le problème principal est une erreur dans le purge table enteventoccurence rc2, qui empêche la synchronisation des événements et entraînerait une non-conformité aux politiques éthiques de Vermeg. Le ticket indique également que les alertes ne peuvent pas être envoyées conformément à la politique de conduite de code de Vermeg.","La solution consiste à corriger le purge table enteventoccurence rc2, ce qui permettrait de synchroniser correctement les événements et de respecter les politiques éthiques de l'entreprise. Il est également possible que la mise en place d'un système pour envoyer des alertes conformément à la politique de conduite de code soit nécessaire.",* Purge table enteventoccurence rc2,palmint506 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium purge table enteventoccurence rc2 confirmer devops fixed palm4610 purge table enteventoccurence rc2 confirmer devops doc author ajelassi body approved createddate 20170922t1623390000000 updateddate 20170922t1623390000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert setting occurence syncing false events palm91001 palm91002   audit palmyra 
palmint507,"Le ticket décrit un problème avec l'envoi d'alertes relatives à la politique éthique et de conduite de VERMEG aux parties prenantes. Le système ne fonctionne pas correctement, ce qui empêche les utilisateurs de signaler des incidents ou des préoccupations de manière anonyme.",La solution consiste à permettre aux utilisateurs de choisir s'ils souhaitent rester anonymes lors de la soumission d'un avertissement et à fournir un moyen pour VERMEG de suivre ces alertes. Il est également recommandé de fournir une option pour que les utilisateurs fournissent leur adresse e-mail ou leur numéro de téléphone afin que VERMEG puisse les contacter en cas de besoin.,"Envoi d'alertes, politique éthique, conduite, parties prenantes, anonymat, suivi des alertes.",palmint507 subtask 1262rc2 self httpsjiravermegcomrestapi2version17231 id 17231 description name 1262rc2 archived false released false releasedate 20171229  medium purge table enteventoccurence rc2 confirmer devops fixed palm4610 purge table enteventoccurence rc2 confirmer devops design author aanaya body createddate 20170926t1040460000000 updateddate 20170926t1040460000000 author aanaya body createddate 20170926t1040580000000 updateddate 20170926t1040580000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert     palmyra 
palmint512,Le ticket concerne un problème de purge table enteventoccurence rc2 dans le contexte d'une présentation fixed pour palm4610. Le problème a été signalé par l'auteur nbelhadj et il était en attente de validation par lchebbi au moment où le ticket a été créé.,"La solution consiste à confirmer la presentation fixed pour palm4610, ce qui devrait résoudre le problème de purge table enteventoccurence rc2. Cependant, il n'y a pas suffisamment d'informations dans le ticket pour déterminer si cette action a effettivement résolu le problème.","purge table, enteventoccurence, rc2, présentation fixed, palm4610",palmint512 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium purge table enteventoccurence rc2 confirmer presentation fixed palm4610 purge table enteventoccurence rc2 confirmer presentation coding author nbelhadj body waiting validation lchebbi createddate 20170925t1326380000000 updateddate 20170925t1326380000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert event registred syncoccurence false  jar palmyratrunk alerts 2907 palmyratrunk easytestui 2909 palmyratrunk mindmapping 2907 palmyratrunk palmyracharts 2911 palmyratrunk palmyradynamicscreen 2914 palmyratrunk presentationcore 2910 palmyratrunk usecasepolicyui 2909 palmyratrunk viewformatverifier 2908 palmyratrunk translatorui 2913 palmyratrunk presentationservices 2912 event registred syncoccurence true palmyra 
palmint514,"La question principale ici est un problème de purge table enteventoccurence rc2, qui doit être confirmé dans la présentation. Le ticket indique également que l'alerte concernant cette question a été envoyée aux parties prenantes, mais il n'est pas clair si elle a été résolue ou non.","Il semble qu'il y ait eu une demande de code review pour cette question par l'auteur lchebbi, mais il n'y a pas de preuve que cela a été fait. Il est donc difficile de dire quelle action a vraiment été prise pour résoudre le problème.",* purge table enteventoccurence rc2,palmint514 subtask 1262rc2   medium purge table enteventoccurence rc2 confirmer presentation fixed palm4610 purge table enteventoccurence rc2 confirmer presentation codereview author lchebbi body done createddate 20180103t1014290000000 updateddate 20180103t1014290000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert     palmyra 
palmint515,Le ticket concerne un problème de purge table enteventoccurence dans le cadre d'une mise à jour rc2 pour la version 1.7.20.3. Le problème semble être lié à la confirmation de la présentation associée à cette purge table.,"La solution appliquée consiste en une correction du code source pour le palm4610, qui a permis de résoudre le problème de purge table enteventoccurence rc2 confirmer presentation.","Purge table, enteventoccurence, rc2, présentation, palm4610, code source",palmint515 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium purge table enteventoccurence rc2 confirmer presentation fixed palm4610 purge table enteventoccurence rc2 confirmer presentation doc author nbelhadj body waiting validation lchebbi createddate 20170925t1324190000000 updateddate 20170925t1324190000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert event registred syncoccurence false  wiki http1011401158080xwikiwikipalmyra1261vieweventsmanagementeventmanagerhgeneratinganotification event registred syncoccurence true palmyra 
